hhmemberid,seq_num,income,cfps2016eduy_im,age,gender,urban16,provcd16,ethnic,married,party,employ,postsecondary,seniorsecondary,juniorsecondary,primary,illiterate,lninc,exper,exper2,area
120111102,150908,190000,15,32,1,1,12,0,1,0,1,1,0,0,0,0,12.154779,11,121,1
120129101,120129,21000,9,47,0,1,12,0,1,0,1,0,0,1,0,0,9.9522781,32,1024,1
120129103,120129,45000,16,23,0,1,33,0,0,0,1,1,0,0,0,0,10.714417,1,1,1
128083501,128083,0,9,29,0,1,37,0,1,0,1,0,0,1,0,0,,14,196,1
128367502,128367,0,9,30,1,0,37,0,1,0,1,0,0,0,1,0,,15,225,1
130001102,130001,0,9,60,1,0,13,0,1,0,1,0,0,1,0,0,,45,2025,1
130005103,100286,49000,3,38,1,1,13,0,0,0,1,0,0,0,0,1,10.799576,29,841,1
130010101,130010,6000,0,48,0,0,13,0,0,0,1,0,0,0,0,1,8.6995144,42,1764,1
130010102,130010,18900,6,29,1,0,13,0,0,0,1,0,0,0,1,0,9.8469172,17,289,1
130010103,130010,0,,31,0,0,13,0,1,0,1,0,0,0,0,1,,,,1
130011103,130011,5000,13,24,0,0,13,0,0,0,1,0,1,0,0,0,8.5171928,5,25,1
130011531,130011,35300,15,40,1,0,13,0,1,0,1,1,0,0,0,0,10.471639,19,361,1
130012103,159702,3200,12,27,1,1,13,0,1,0,1,0,1,0,0,0,8.0709057,9,81,1
130013104,130013,5000,9,31,1,0,13,0,0,0,1,0,0,1,0,0,8.5171928,16,256,1
130017103,198382,25000,9,32,1,1,13,0,1,0,1,0,0,1,0,0,10.126631,17,289,1
130019103,130019,4000,9,46,1,0,13,0,1,0,1,0,0,1,0,0,8.2940493,31,961,1
130024431,130024,0,9,39,1,0,13,0,1,0,1,0,0,1,0,0,,24,576,1
130027103,130027,0,9,31,1,0,13,0,1,0,1,0,0,1,0,0,,16,256,1
130028102,130028,0,,53,1,0,13,0,1,0,1,0,0,0,1,0,,,,1
130028103,130028,20000,8,26,1,1,13,0,1,0,1,0,0,0,1,0,9.9034872,12,144,1
130029102,130029,0,6,72,0,1,13,0,1,0,1,0,0,0,1,0,,60,3600,1
130030103,130030,3410,9,26,1,1,13,0,1,0,1,0,0,1,0,0,8.1344671,11,121,1
130032103,130032,0,0,66,0,1,13,0,1,0,1,0,0,0,0,1,,60,3600,1
130034104,130034,52000,,41,1,1,13,0,1,0,1,0,0,1,0,0,10.858999,,,1
130035101,130035,0,1,67,1,1,13,0,0,0,1,0,0,0,0,1,,60,3600,1
130035103,130035,15000,6,36,1,1,13,0,1,0,1,0,0,0,0,1,9.6158056,24,576,1
130036104,130036,14400,9,30,0,1,13,0,1,0,1,0,0,1,0,0,9.5749836,15,225,1
130036106,130036,0,9,30,1,1,13,0,1,0,1,0,0,1,0,0,,15,225,1
130037101,130037,0,0,52,1,1,13,0,1,0,1,0,0,0,0,1,,46,2116,1
130037104,130037,30000,,29,1,1,13,0,1,0,1,0,0,1,0,0,10.308952,,,1
130039103,130039,30000,15,29,1,0,13,0,1,0,1,1,0,0,0,0,10.308952,8,64,1
130040102,130040,39000,9,49,1,1,35,0,1,0,1,0,0,1,0,0,10.571317,34,1156,1
130042106,219077,0,,28,0,1,13,0,1,0,1,1,0,0,0,0,,,,1
130049101,130049,0,6,54,0,1,13,0,1,0,1,0,0,0,1,0,,42,1764,1
130052101,130052,3000,0,65,1,1,13,0,1,0,1,0,0,0,0,1,8.0063677,59,3481,1
130057102,130057,0,0,60,0,0,13,0,1,0,1,0,0,0,0,1,,54,2916,1
130062102,130062,30000,8,41,1,0,13,0,1,0,1,0,0,0,1,0,10.308952,27,729,1
130062105,130062,0,8,24,0,0,13,0,1,0,1,0,0,0,1,0,,10,100,1
130066104,130066,12000,9,27,0,0,13,0,1,0,1,0,0,1,0,0,9.392662,12,144,1
130068531,130068,0,0,68,1,0,13,0,0,0,1,0,0,0,0,1,,62,3844,1
130069431,130069,18000,6,37,1,0,13,0,1,0,1,0,0,0,1,0,9.7981272,25,625,1
130070101,130070,0,0,56,0,0,13,0,1,0,1,0,0,0,0,1,,50,2500,1
130072101,130072,0,9,34,0,0,13,0,1,0,1,0,0,1,0,0,,19,361,1
130072102,130072,0,12,36,1,0,13,0,1,1,1,0,1,0,0,0,,18,324,1
130074103,130074,0,6,58,0,0,13,0,1,0,1,0,0,0,0,1,,46,2116,1
130074104,139778,58500,,35,0,0,13,0,0,0,1,0,0,1,0,0,10.976782,,,1
130075101,130075,0,9,53,1,0,13,0,1,0,1,0,0,1,0,0,,38,1444,1
130075103,130075,0,9,29,1,0,13,0,1,0,1,0,0,1,0,0,,14,196,1
130076101,130076,0,12,54,0,0,13,0,1,1,1,0,1,0,0,0,,36,1296,1
130076531,130076,0,9,78,1,0,13,0,0,1,1,0,0,1,0,0,,63,3969,1
130077103,130077,65000,9,31,1,0,13,0,1,0,1,0,0,0,1,0,11.082143,16,256,1
130077431,130077,0,9,28,0,0,13,0,1,0,1,0,0,1,0,0,,13,169,1
130078103,130078,40000,9,26,1,0,13,0,1,0,1,0,0,0,1,0,10.596635,11,121,1
130086102,130086,0,12,46,0,0,13,0,1,0,1,0,1,0,0,0,,28,784,1
130087101,130087,12000,9,43,0,0,13,0,1,0,1,0,0,0,1,0,9.392662,28,784,1
130087102,130087,24000,9,43,1,0,13,0,1,0,1,0,0,1,0,0,10.085809,28,784,1
130088102,130088,0,9,51,0,0,13,0,0,0,1,0,0,0,1,0,,36,1296,1
130088104,130088,5000,12,26,1,0,13,0,1,0,1,0,1,0,0,0,8.5171928,8,64,1
130089101,130089,20000,9,51,1,0,13,0,1,0,1,0,0,0,1,0,9.9034872,36,1296,1
130089103,130089,3000,10,18,0,1,12,0,0,0,1,0,0,0,1,0,8.0063677,2,4,1
130092104,130092,30000,16,24,1,0,13,0,0,0,1,0,0,1,0,0,10.308952,2,4,1
130093104,284247,28000,,28,0,0,13,0,1,0,1,0,0,0,1,0,10.23996,,,1
130093431,130093,14000,8,29,0,1,13,0,1,0,1,0,0,0,1,0,9.546813,15,225,1
130094102,130094,0,6,49,1,0,13,0,1,0,1,0,0,0,1,0,,37,1369,1
130095101,130095,0,6,50,0,0,13,0,1,0,1,0,0,0,1,0,,38,1444,1
130095104,130095,31260,9,27,0,0,13,0,0,0,1,0,0,1,0,0,10.350095,12,144,1
130096104,130096,0,,23,0,1,11,0,0,0,1,0,0,0,1,0,,,,1
130097102,130097,0,0,59,0,0,13,0,0,0,1,0,0,0,0,1,,53,2809,1
130098101,130098,6000,9,36,1,0,13,0,1,0,1,0,0,1,0,0,8.6995144,21,441,1
130099101,130099,32400,12,41,1,0,13,0,1,0,1,0,1,0,0,0,10.385914,23,529,1
130100104,130100,0,9,30,0,0,13,0,1,0,1,0,0,1,0,0,,15,225,1
130101102,130101,4000,12,30,1,0,13,0,1,0,1,0,1,0,0,0,8.2940493,12,144,1
130103101,130103,13000,9,36,0,0,13,0,1,0,1,0,0,1,0,0,9.4727049,21,441,1
130107104,130107,63000,,22,1,0,13,0,0,0,1,0,0,1,0,0,11.05089,,,1
130110103,130110,1,12,43,1,1,12,0,0,1,1,0,1,0,0,0,0,25,625,1
130132101,130132,0,12,53,0,1,13,0,1,0,1,0,1,0,0,0,,35,1225,1
130132103,130132,0,,27,1,1,13,0,0,0,1,0,1,0,0,0,,,,1
130133101,130133,40000,12,38,1,1,13,0,1,0,1,0,1,0,0,0,10.596635,20,400,1
130136102,130136,21600,15,26,0,1,13,0,0,0,1,1,0,0,0,0,9.9804487,5,25,1
130147102,130147,24000,6,45,1,0,13,0,1,0,1,0,0,0,1,0,10.085809,33,1089,1
130148101,130148,0,6,62,1,0,13,0,0,0,1,0,0,0,0,1,,50,2500,1
130148102,130148,60000,9,28,1,0,13,0,0,0,1,0,0,1,0,0,11.0021,13,169,1
130151101,130151,90000,,40,1,0,13,0,1,0,1,0,0,0,1,0,11.407565,,,1
130151102,130151,40000,,38,0,0,13,0,1,0,1,0,0,1,0,0,10.596635,,,1
130158101,130158,0,0,60,0,0,13,0,0,0,1,0,0,0,0,1,,54,2916,1
130164102,130164,36000,9,29,1,0,13,0,1,0,1,0,0,0,1,0,10.491274,14,196,1
130164104,130164,0,9,29,0,0,13,0,1,0,1,0,0,1,0,0,,14,196,1
130166103,130166,10000,6,53,1,0,13,0,1,0,1,0,0,0,0,1,9.2103405,41,1681,1
130166105,130166,0,9,27,1,0,13,0,1,0,1,0,0,0,1,0,,12,144,1
130167101,130167,0,9,61,1,0,13,0,1,0,1,0,0,1,0,0,,46,2116,1
130169103,130169,44000,9,44,1,0,13,0,1,0,1,0,0,0,1,0,10.691945,29,841,1
130172102,130172,45000,0,37,1,0,13,0,1,1,1,0,0,0,0,1,10.714417,31,961,1
